module,symbol,line,public,reached,scenarios
src/panelclv/benchmarks/__init__.py,__getattr__,34,False,False,
src/panelclv/benchmarks/__init__.py,__dir__,47,False,False,
src/panelclv/benchmarks/pareto_benchmark.py,_build_cbs,70,False,True,pareto_nbd
src/panelclv/benchmarks/pareto_benchmark.py,_post_gamma,122,False,True,pareto_nbd
src/panelclv/benchmarks/pareto_benchmark.py,_slice_sample_gamma,142,False,True,pareto_nbd
src/panelclv/benchmarks/pareto_benchmark.py,_slice_sample_gamma.f,162,False,True,pareto_nbd
src/panelclv/benchmarks/pareto_benchmark.py,_draw_tau,198,False,True,pareto_nbd
src/panelclv/benchmarks/pareto_benchmark.py,_run_single_chain,229,False,True,pareto_nbd
src/panelclv/benchmarks/pareto_benchmark.py,compute_pareto_predictions,278,True,True,pareto_nbd
src/panelclv/benchmarks/valendin_lstm.py,_ValendinLSTMBackbone.__init__,77,False,True,valendin_lstm
src/panelclv/benchmarks/valendin_lstm.py,_ValendinLSTMBackbone.forward,104,False,True,valendin_lstm
src/panelclv/benchmarks/valendin_lstm.py,ValendinLSTMModel.__init__,119,False,True,valendin_lstm
src/panelclv/benchmarks/valendin_lstm.py,ValendinLSTMModel.forward,139,True,True,valendin_lstm
src/panelclv/benchmarks/valendin_lstm.py,InferenceValendinLSTMModel.__init__,159,False,True,valendin_lstm
src/panelclv/benchmarks/valendin_lstm.py,InferenceValendinLSTMModel.forward,179,True,True,valendin_lstm
src/panelclv/configs/panel_config.py,_as_col_tuple,140,False,True,lstm pareto_nbd transformer valendin_lstm
src/panelclv/configs/panel_config.py,normalize_embedded_cols,161,True,True,lstm pareto_nbd transformer valendin_lstm
src/panelclv/configs/panel_config.py,PanelConfig.__post_init__,256,False,True,lstm pareto_nbd transformer valendin_lstm
src/panelclv/configs/panel_config.py,PanelConfig._resolve_time_features,351,False,True,lstm pareto_nbd transformer valendin_lstm
src/panelclv/configs/panel_config.py,PanelConfig._validate_embedded_cols,373,False,True,lstm pareto_nbd transformer valendin_lstm
src/panelclv/configs/panel_config.py,PanelConfig.data_config,392,True,True,lstm pareto_nbd transformer valendin_lstm
src/panelclv/configs/panel_config.py,PanelConfig.to_dict,414,True,False,
src/panelclv/configs/panel_config.py,PanelConfig.from_dict,449,True,False,
src/panelclv/configs/panel_config.py,PanelConfig.schema,464,True,True,lstm pareto_nbd transformer valendin_lstm
src/panelclv/data_preparation/ar_features.py,parse_ar_feature,75,True,True,lstm pareto_nbd transformer valendin_lstm
src/panelclv/data_preparation/ar_features.py,validate_ar_features,106,True,True,lstm pareto_nbd transformer valendin_lstm
src/panelclv/data_preparation/ar_features.py,_base_states,112,False,True,lstm pareto_nbd transformer
src/panelclv/data_preparation/ar_features.py,_render,151,False,True,lstm pareto_nbd transformer
src/panelclv/data_preparation/ar_features.py,compute_ar_feature_columns,176,True,True,lstm pareto_nbd transformer
src/panelclv/data_preparation/ar_features.py,ARFeatureState.__init__,194,False,True,lstm transformer
src/panelclv/data_preparation/ar_features.py,ARFeatureState.update,206,True,True,lstm transformer
