panel,mode,seed,predicted,actual,bias,mape,rmse,spearman,secs
cdnow,baseline,42,1592.3852962755295,1895.0,-15.969113653006357,21.029810118208566,0.14547493834889536,0.4503093010593464,16.9
cdnow,baseline,43,1609.3226804900692,1895.0,-15.075320290761521,20.718552920539807,0.1454542073934841,0.45653125860657207,17.2
cdnow,baseline,44,1677.0926394646058,1895.0,-11.499069157540593,19.57989950585622,0.14546586211296322,0.44020010249944685,16.8
cdnow,shift,42,1477.4709959524575,1895.0,-22.033192825727834,24.549395851694367,0.1455534837562871,0.4305235261493384,16.5
cdnow,shift,43,1469.980187790518,1895.0,-22.428486132426496,24.854429641994663,0.1456039210428154,0.4516499584324021,16.6
cdnow,shift,44,1530.4680525499616,1895.0,-19.236514377310733,22.769014522862744,0.14550072602087685,0.44266404766382567,17.1
cdnow,no_collapse,42,1695.680639597177,1895.0,-10.518172052919414,19.170954649487395,0.14523878875355323,0.4406545369821799,16.8
cdnow,no_collapse,43,1712.4650227824372,1895.0,-9.632452623618088,18.959594842799802,0.14536178551440887,0.4336675135970938,16.6
cdnow,no_collapse,44,1797.2005997787955,1895.0,-5.160918217477807,18.387831461966396,0.14542176206499152,0.43495172152787737,16.7
electronics,baseline,42,542.5600399835196,1467.0,-63.01567552941244,65.65358811185475,0.3758312855906185,0.29689400272726224,14.8
electronics,baseline,43,539.754335212448,1467.0,-63.20693011503422,65.79343872026412,0.37583129831171425,0.2984038910162302,15.3
electronics,baseline,44,543.00124302036,1467.0,-62.985600339443764,65.63201068694117,0.3758321638902237,0.3157755262959986,15.2
electronics,shift,42,525.1700962238663,1467.0,-64.20108410198594,66.55588167755792,0.375859118518244,0.30582023651305834,15.4
electronics,shift,43,528.0035718611991,1467.0,-64.00793647844587,66.4113235539518,0.37583079196511987,0.31155692909149946,14.8
electronics,shift,44,515.4634373548431,1467.0,-64.86275137322133,67.08741697189336,0.37586080863318705,0.3187993944527408,15.0
