panel,model,contrast,mean_a,mean_b,delta,lo,hi,supported,floor
cdnow,ValendinLSTM,label alone,51.67395817555041,57.4513455634386,5.77738738788819,-21.16566394078368,36.13235264875138,False,5.83
cdnow,ValendinLSTM,floor alone,51.67395817555041,56.52368094469366,4.8497227691432485,-20.76381082293099,30.756690982467628,False,5.83
cdnow,ValendinLSTM,floor | label,57.4513455634386,51.02854874069827,-6.422796822740331,-33.83394619437416,13.94652797949757,False,5.83
cdnow,ValendinLSTM,label | floor,56.52368094469366,51.02854874069827,-5.495132203995389,-29.183751825743403,13.691778115698071,False,5.83
cdnow,LSTM,label alone,57.70389212030276,80.23660935264687,22.532717232344105,-8.701257973515615,54.80530621009706,False,5.83
cdnow,LSTM,floor alone,57.70389212030276,183.86601580624608,126.16212368594333,78.57359758034505,174.01344364146524,True,5.83
cdnow,LSTM,floor | label,80.23660935264687,84.75755919084085,4.520949838193985,-26.591084421945702,34.32015226555596,False,5.83
cdnow,LSTM,label | floor,183.86601580624608,84.75755919084085,-99.10845661540523,-145.8248942453342,-52.22334714287397,True,5.83
electronics,ValendinLSTM,label alone,69.08307767133194,69.15875926846475,0.07568159713281375,-12.486351874510358,14.164677818153672,False,3.63
electronics,ValendinLSTM,floor alone,69.08307767133194,46.287116569139286,-22.79596110219265,-28.15652648336755,-17.219320027277302,True,3.63
electronics,ValendinLSTM,floor | label,69.15875926846475,58.81913761165491,-10.33962165680984,-24.913861961174607,2.976321981522678,False,3.63
electronics,ValendinLSTM,label | floor,46.287116569139286,58.81913761165491,12.532021042515623,5.505076185506253,19.720164772482054,True,3.63
electronics,LSTM,label alone,56.92005790199003,54.91397404608688,-2.0060838559031495,-7.745949202721053,3.7634095477724077,False,3.63
electronics,LSTM,floor alone,56.92005790199003,51.71838779183671,-5.201670110153316,-12.437414807063218,2.481177534455699,False,3.63
electronics,LSTM,floor | label,54.91397404608688,52.848432121376824,-2.065541924710054,-11.134337482873098,7.290852460869409,False,3.63
electronics,LSTM,label | floor,51.71838779183671,52.848432121376824,1.1300443295401124,-8.816966558845332,11.516051035491227,False,3.63
gift,ValendinLSTM,label alone,32.24816784742149,31.753621349841808,-0.49454649757968383,-5.11790934705984,3.9194908004767575,False,5.89
gift,ValendinLSTM,floor alone,32.24816784742149,28.900654794409526,-3.3475130530119657,-7.01744724057638,-0.08145319945081474,True,5.89
gift,ValendinLSTM,floor | label,31.753621349841808,28.961278473183114,-2.7923428766586937,-6.631289079821521,0.8662685750190269,False,5.89
gift,ValendinLSTM,label | floor,28.900654794409526,28.961278473183114,0.0606236787735881,-2.2167439557388176,2.4246669590031846,False,5.89
gift,LSTM,label alone,30.32591677060779,29.258922520955128,-1.0669942496526623,-4.788941870730003,2.551996942178108,False,5.89
gift,LSTM,floor alone,30.32591677060779,29.875742201636694,-0.45017456897109653,-4.098164344608878,3.1970424506358044,False,5.89
gift,LSTM,floor | label,29.258922520955128,31.581762755195438,2.32284023424031,-1.851710856329402,6.576377530321657,False,5.89
gift,LSTM,label | floor,29.875742201636694,31.581762755195438,1.7060205535587443,-2.4301214778774907,5.873267011198003,False,5.89
multichannel,ValendinLSTM,label alone,84.91918676567444,68.12609582600206,-16.793090939672382,-29.322369646943077,-3.350602261209583,True,7.71
multichannel,ValendinLSTM,floor alone,84.91918676567444,56.04166566866009,-28.877521097014352,-37.8950975867451,-20.054100430061876,True,7.71
multichannel,ValendinLSTM,floor | label,68.12609582600206,63.38640306800537,-4.739692757996686,-17.8211398011264,8.242848087907829,False,7.71
multichannel,ValendinLSTM,label | floor,56.04166566866009,63.38640306800537,7.344737399345284,-0.6151199191125993,17.286491397653474,False,7.71
multichannel,LSTM,label alone,140.8800408701613,67.40548167839255,-73.47455919176876,-104.4932452255502,-39.30306883691503,True,7.71
multichannel,LSTM,floor alone,140.8800408701613,52.76721423158894,-88.11282663857237,-112.29784819948311,-66.25755310172548,True,7.71
multichannel,LSTM,floor | label,67.40548167839255,57.66370566053246,-9.74177601786009,-37.267104366945524,6.563949984589165,False,7.71
multichannel,LSTM,label | floor,52.76721423158894,57.66370566053246,4.89649142894352,-0.7404079699366107,10.789482069459213,False,7.71
