panel,model,contrast,mean_a,mean_b,delta,lo,hi,supported,refit_noise
cdnow,ValendinLSTM,label alone,0.3641323146979705,0.4028602302541547,0.038727915556184156,-0.003365670238958687,0.08751503747893859,False,0.0159
cdnow,ValendinLSTM,floor alone,0.3641323146979705,0.3831277616797747,0.018995446981804165,-0.01921881793418899,0.06507560594328893,False,0.0159
cdnow,ValendinLSTM,floor | label,0.4028602302541547,0.40563291221163345,0.002772681957478762,-0.02363205879335303,0.03247040942398996,False,0.0159
cdnow,ValendinLSTM,label | floor,0.3831277616797747,0.40563291221163345,0.022505150531858753,0.0003853606340267038,0.04669709776441174,True,0.0159
cdnow,LSTM,label alone,0.3860959558952083,0.3982617660097848,0.012165810114576514,-0.013238350541604132,0.039781975053276096,False,0.0159
cdnow,LSTM,floor alone,0.3860959558952083,0.35212877889837996,-0.03396717699682833,-0.09745832637884212,0.019190538574552843,False,0.0159
cdnow,LSTM,floor | label,0.3982617660097848,0.40270991347720253,0.004448147467417729,-0.014308609477455632,0.023922191412746166,False,0.0159
cdnow,LSTM,label | floor,0.35212877889837996,0.40270991347720253,0.05058113457882257,0.0009605231185802287,0.11122233489184037,True,0.0159
electronics,ValendinLSTM,label alone,0.02105546629293756,0.30450399354594054,0.28344852725300296,0.2645456740513939,0.3024295629435028,True,0.0105
electronics,ValendinLSTM,floor alone,0.02105546629293756,0.17768294870012952,0.15662748240719196,0.11859371515037995,0.1932738444805783,True,0.0105
electronics,ValendinLSTM,floor | label,0.30450399354594054,0.3050293949011921,0.0005254013552515313,-0.010425890077968333,0.0119264559665657,False,0.0105
electronics,ValendinLSTM,label | floor,0.17768294870012952,0.3050293949011921,0.12734644620106256,0.09394566699608044,0.162578733375652,True,0.0105
electronics,LSTM,label alone,0.029096178256652366,0.2886815653748179,0.2595853871181655,0.2348014492277574,0.2816542613683859,True,0.0105
electronics,LSTM,floor alone,0.029096178256652366,0.1818642583755046,0.15276808011885223,0.11614477890823753,0.18809456261245303,True,0.0105
electronics,LSTM,floor | label,0.2886815653748179,0.3019981392343167,0.013316573859498804,-0.004789905776308068,0.034821059783422634,False,0.0105
electronics,LSTM,label | floor,0.1818642583755046,0.3019981392343167,0.12013388085881208,0.08746646461824467,0.15558962353226607,True,0.0105
gift,ValendinLSTM,label alone,0.34883398395124177,0.3586153604761185,0.009781376524876761,-0.005108602211798819,0.026257895545307317,False,0.0116
gift,ValendinLSTM,floor alone,0.34883398395124177,0.2795488691392129,-0.06928511481202887,-0.11762054235814369,-0.02704800350864019,True,0.0116
gift,ValendinLSTM,floor | label,0.3586153604761185,0.36307407054665564,0.0044587100705371085,-0.004961474586346734,0.01359328984978307,False,0.0116
gift,ValendinLSTM,label | floor,0.2795488691392129,0.36307407054665564,0.08352520140744274,0.044297722746324306,0.13013347848486315,True,0.0116
gift,LSTM,label alone,0.32633983410443107,0.35606733764313125,0.029727503538700184,0.005335544478761355,0.06103937006132557,True,0.0116
gift,LSTM,floor alone,0.32633983410443107,0.2633514507792455,-0.06298838332518558,-0.11747436530688686,-0.012116076442248,True,0.0116
gift,LSTM,floor | label,0.35606733764313125,0.3591864185846151,0.0031190809414838316,-0.005245474931710375,0.011357762149752206,False,0.0116
gift,LSTM,label | floor,0.2633514507792455,0.3591864185846151,0.0958349678053696,0.05319595896390213,0.1433575659634753,True,0.0116
multichannel,ValendinLSTM,label alone,-0.004206985064817645,0.17771055700776206,0.1819175420725797,0.16248634693441463,0.1994584616536685,True,0.0152
multichannel,ValendinLSTM,floor alone,-0.004206985064817645,0.11884702222274665,0.1230540072875643,0.09863275574934426,0.14760633686200753,True,0.0152
multichannel,ValendinLSTM,floor | label,0.17771055700776206,0.19541175827396742,0.017701201266205363,0.003514392768359513,0.03465995930296908,True,0.0152
multichannel,ValendinLSTM,label | floor,0.11884702222274665,0.19541175827396742,0.07656473605122077,0.054469849776276336,0.09980916067628132,True,0.0152
multichannel,LSTM,label alone,0.0029507412376315353,0.17546320022461653,0.172512458986985,0.15820446329968954,0.18641773103750517,True,0.0152
multichannel,LSTM,floor alone,0.0029507412376315353,0.07870588227422416,0.07575514103659263,0.05056055600693756,0.10043135480703094,True,0.0152
multichannel,LSTM,floor | label,0.17546320022461653,0.1894837975279866,0.014020597303370075,-0.0032811799148640035,0.030504424148496117,False,0.0152
multichannel,LSTM,label | floor,0.07870588227422416,0.1894837975279866,0.11077791525376245,0.08461080194915334,0.13732047666461417,True,0.0152
