suite,model,study,spearman,pred_sd,val_loss,best_epoch,epochs_run,lr,batch_size,weight_decay,updates,hidden,dense,dropout,embedder,d_model,arm
ar_encoding__electronics__ar_bounded_32__a,LSTM,1,0.2646876703300466,0.6280775007832818,0.0874109864234924,26.0,34.0,0.0085161017044225,128.0,7.185582975955352e-05,189.0,128.0,64.0,0.0,valendin,,a
ar_encoding__electronics__ar_bounded_32__a,LSTM,2,0.1987592471570509,0.3630759228155716,0.0854971706867218,31.0,39.0,0.0073993002458103,256.0,1.7298428356555206e-05,128.0,128.0,64.0,0.2,valendin,,a
ar_encoding__electronics__ar_bounded_32__a,LSTM,3,0.2953033135318024,0.5298925192208013,0.0876899915082114,18.0,26.0,0.0045340786817058,128.0,1.75236126533191e-06,133.0,128.0,64.0,0.0,valendin,,a
ar_encoding__electronics__ar_bounded_32__a,LSTM,4,0.2943777971850832,0.4301291458580853,0.0854958854615688,31.0,39.0,0.0093459057688833,256.0,0.0025568119453908,128.0,128.0,32.0,0.2,valendin,,a
ar_encoding__electronics__ar_bounded_32__a,LSTM,5,0.2424949187113074,0.68350123688166,0.0852459874004125,48.0,56.0,0.0068251429246809,256.0,7.371130115661969e-06,196.0,128.0,64.0,0.2,valendin,,a
ar_encoding__electronics__ar_bounded_32__a,LSTM,6,0.2144395967112282,0.387810325935896,0.0867842528969049,12.0,20.0,0.0095109541245082,256.0,2.0882130592781697e-05,52.0,128.0,64.0,0.0,valendin,,a
ar_encoding__electronics__ar_bounded_32__a,LSTM,7,0.139851118393809,0.2516326964046934,0.085982009768486,31.0,39.0,0.009644080520507,256.0,2.3493102824518204e-06,128.0,64.0,32.0,0.2,valendin,,a
ar_encoding__electronics__ar_bounded_32__a,LSTM,8,0.2889954731479331,0.4670511439601856,0.0884257725306919,20.0,28.0,0.002985268303603,128.0,0.0022981410515276,147.0,64.0,32.0,0.0,valendin,,a
ar_encoding__electronics__ar_bounded_32__a,LSTM,9,0.2472408239541087,0.381637560638689,0.0876186426196779,72.0,80.0,0.0040994813786399,128.0,0.0073761199003402,511.0,32.0,32.0,0.2,valendin,,a
ar_encoding__electronics__ar_bounded_32__a,LSTM,10,0.1941639961522486,0.234893625551534,0.0864307843148708,17.0,25.0,0.0091381598018715,256.0,0.0001214816273653,72.0,32.0,128.0,0.2,valendin,,a
ar_encoding__electronics__ar_bounded_32__a,LSTM,11,0.2251403105375279,0.3436032819700213,0.0879158143486295,24.0,32.0,0.0032646064996921,128.0,2.5614618279037093e-06,175.0,128.0,32.0,0.0,valendin,,a
ar_encoding__electronics__ar_bounded_32__a,LSTM,12,0.3250791279044657,1.0983067454526385,0.0871156709534781,26.0,34.0,0.0062007626063893,128.0,2.0194143136255857e-06,189.0,128.0,64.0,0.2,valendin,,a
ar_encoding__electronics__ar_bounded_32__a,LSTM,13,0.2026942324655506,0.2978067583661006,0.0878010083522115,23.0,31.0,0.0079153532354537,128.0,1.842398492824252e-06,168.0,64.0,32.0,0.0,valendin,,a
ar_encoding__electronics__ar_bounded_32__a,LSTM,14,0.2540214411023678,0.2621151098801149,0.086654182523489,39.0,47.0,0.0029285558807353,256.0,0.0005214534336205,160.0,32.0,32.0,0.0,valendin,,a
ar_encoding__electronics__ar_bounded_32__a,LSTM,15,0.266324172087067,0.3656840699072187,0.0852902252227068,37.0,45.0,0.0084613327513277,256.0,3.3034263900159782e-06,152.0,128.0,32.0,0.2,valendin,,a
ar_encoding__electronics__ar_bounded_32__a,LSTM,16,0.23517719299294,0.4363460574212551,0.0875972764832632,30.0,38.0,0.0055604104406721,128.0,0.0008439354614366,217.0,64.0,32.0,0.2,valendin,,a
ar_encoding__electronics__ar_bounded_32__a,LSTM,17,0.2592544368339911,0.478239524826007,0.0854357536882162,36.0,44.0,0.0091313002549127,256.0,6.659206879491428e-05,148.0,128.0,64.0,0.0,valendin,,a
ar_encoding__electronics__ar_bounded_32__a,LSTM,18,0.3041246890912161,0.832385172313444,0.0885033223491448,29.0,37.0,0.0019662990296146,64.0,0.0004340187366514,390.0,128.0,64.0,0.2,valendin,,a
ar_encoding__electronics__ar_bounded_32__a,LSTM,19,0.2487117400719307,0.6149370633249552,0.0852277148514986,31.0,39.0,0.0049431739588193,256.0,1.825211731712292e-05,128.0,128.0,64.0,0.2,valendin,,a
ar_encoding__electronics__ar_bounded_32__a,LSTM,20,0.2019551831032111,0.4352015859015565,0.0877316445112228,38.0,46.0,0.0023581958957929,128.0,2.9766312220180248e-05,273.0,32.0,64.0,0.2,valendin,,a
