suite,model,study,best_epoch,val_loss,spearman,pred_sd,arm
ar_encoding__electronics__ar_bounded_32__a,LSTM,19,31.0,0.0852277148514986,0.24871174007193075,0.6149370633249552,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__a,LSTM,7,31.0,0.085982009768486,0.13985111839380907,0.25163269640469343,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__a,LSTM,4,31.0,0.0854958854615688,0.2943777971850832,0.4301291458580853,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__a,LSTM,17,36.0,0.0854357536882162,0.25925443683399113,0.478239524826007,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__a,LSTM,18,29.0,0.0885033223491448,0.3041246890912161,0.832385172313444,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__a,LSTM,11,24.0,0.0879158143486295,0.2251403105375279,0.3436032819700213,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__a,LSTM,2,31.0,0.0854971706867218,0.19875924715705096,0.3630759228155716,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__a,LSTM,1,26.0,0.0874109864234924,0.2646876703300466,0.6280775007832818,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__a,LSTM,3,18.0,0.0876899915082114,0.29530331353180245,0.5298925192208013,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__a,LSTM,5,48.0,0.0852459874004125,0.2424949187113074,0.68350123688166,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__a,LSTM,14,39.0,0.086654182523489,0.25402144110236785,0.26211510988011494,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__a,LSTM,10,17.0,0.0864307843148708,0.1941639961522486,0.23489362555153404,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__a,LSTM,12,26.0,0.0871156709534781,0.32507912790446575,1.0983067454526385,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__a,LSTM,16,30.0,0.0875972764832632,0.23517719299294,0.4363460574212551,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__a,LSTM,15,37.0,0.0852902252227068,0.26632417208706705,0.3656840699072187,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__a,LSTM,20,38.0,0.0877316445112228,0.20195518310321114,0.43520158590155655,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__a,LSTM,8,20.0,0.0884257725306919,0.2889954731479331,0.46705114396018566,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__a,LSTM,6,12.0,0.0867842528969049,0.21443959671122823,0.387810325935896,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__a,LSTM,9,72.0,0.0876186426196779,0.24724082395410873,0.381637560638689,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__a,LSTM,13,23.0,0.0878010083522115,0.20269423246555066,0.29780675836610065,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__b,LSTM,19,43.0,0.0849662814289331,0.29554963220435143,0.7679324672693907,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__b,LSTM,7,22.0,0.0888453206190696,0.2948081305642417,0.6036073877944436,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__b,LSTM,4,44.0,0.087691734944071,0.2609551591951115,0.5838290005276832,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__b,LSTM,17,19.0,0.0881833113156832,0.2820771232230187,1.491668678626918,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__b,LSTM,18,22.0,0.0862127561122179,0.15808075760579662,0.2648147430317307,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__b,LSTM,11,22.0,0.0859403423964977,0.2356601164648469,0.30084729999142484,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__b,LSTM,2,29.0,0.0858907047659158,0.26097109570733823,0.4369868561979717,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__b,LSTM,1,19.0,0.087598225900105,0.26448272648991566,0.40223523358511903,ar_encoding__electronics__ar_bounded_32
