rate,churn,model,corr_raw,corr_detrended,corr_vs_true_season
10,20,LSTM,0.9352314450765687,0.8772596617830669,0.902623923328698
10,20,Transformer,0.5363964089753308,0.43519484195168356,0.667345607995672
10,20,ParetoNBD_MLE,0.03662199023545082,0.015706486457564575,0.010278524413316129
10,20,LSTM,0.8424227715354702,0.7844088299527988,0.8253627052807558
10,20,Transformer,0.3284191810792277,0.4234832511998118,0.6517261135745854
10,20,ParetoNBD_MLE,-0.08134948911129099,0.06987734349338456,0.018005979531475695
10,20,LSTM,0.8757524694177641,0.8166783997490866,0.8724007352626898
10,20,Transformer,0.617963218817006,0.25798359554989153,0.7210179992776902
10,20,ParetoNBD_MLE,-0.10779758919678187,-0.023511298672161625,0.015641415054963557
10,20,LSTM,0.9296733531985981,0.8503339344114901,0.8401429278063584
10,20,Transformer,0.6009332417030557,0.5126100387665187,0.6887777921080167
10,20,ParetoNBD_MLE,-0.08419377115068744,0.03469269099475778,0.01491594351183984
10,20,LSTM,0.7842253748720649,0.7831536719985791,0.7913483480051219
10,20,Transformer,0.4313152389173863,0.25567014173825703,0.5918537556027729
10,20,ParetoNBD_MLE,-0.09531103260913705,-0.006835475534290356,0.007774815902761135
10,20,LSTM,0.862250677195421,0.8099004503822036,0.8635963840043774
10,20,Transformer,0.5386672236231678,0.25836181364492916,0.5146129215269977
10,20,ParetoNBD_MLE,0.03135903009780389,-0.05822003903240381,0.01806931283856606
10,20,LSTM,0.8930049343827101,0.8207062227566048,0.9212266797639511
10,20,Transformer,0.5110321542380448,0.24561107261991574,0.4977201216201231
10,20,ParetoNBD_MLE,-0.0598622131441075,0.008689166553555672,0.013416693908870587
10,20,LSTM,0.8694309270763614,0.7081555975101275,0.8146584341546982
10,20,Transformer,0.5393434665023273,0.30312113210022745,0.5705204751688314
10,20,ParetoNBD_MLE,-0.05335941269145654,-0.006143615819066673,0.019955973264312817
10,20,LSTM,0.8542708143764217,0.8708609844561339,0.8522551035261214
10,20,Transformer,0.5515653424939849,0.40863056360281014,0.579088711451963
10,20,ParetoNBD_MLE,-0.12261437924925357,-0.026037652382814132,0.012729003439768495
10,20,LSTM,0.8646446568386106,0.7741711211359278,0.8225561792621273
10,20,Transformer,0.6260567151182101,0.5659431827024516,0.64124226384159
10,20,ParetoNBD_MLE,-0.13025498026862545,0.028733102197612822,0.0133289352174524
10,40,LSTM,0.8009404674283506,0.775943964882482,0.6953812311839722
10,40,Transformer,0.6610850005081109,0.6289362257572614,0.6933981994999762
10,40,ParetoNBD_MLE,-0.008232166759348509,0.008922858178322895,-0.006132487551234569
10,40,LSTM,0.7865202688160161,0.5575128141712401,0.7652286086796586
10,40,Transformer,0.6570554813945504,0.5143487442400524,0.8392863304215307
10,40,ParetoNBD_MLE,0.03561205195152924,0.08290181517872128,-0.005268585154129764
10,40,LSTM,0.8789102192582974,0.6889679768357799,0.9148028794500943
10,40,Transformer,0.49276637420592984,0.518101173896068,0.7936649422563619
10,40,ParetoNBD_MLE,0.07787616623743658,-0.014985340228343065,-0.005405880008870747
10,40,LSTM,0.8833785560694867,0.7954977483864483,0.7658768168811428
10,40,Transformer,0.6196596064047799,0.7177033241325782,0.8034263160092769
10,40,ParetoNBD_MLE,-0.02523365549671274,-0.04727072711302417,-0.006373872644958585
10,40,LSTM,0.8177624074998704,0.6216954656728897,0.9280241727516
10,40,Transformer,0.5445613772079024,0.4236010488225475,0.6756030532265657
10,40,ParetoNBD_MLE,-0.05782511370043327,-0.003843440895480297,-0.0050594653514570475
10,40,LSTM,0.8231114611713408,0.8070687433599512,0.8602004556353972
10,40,Transformer,0.6755223610644863,0.5173009939503237,0.7631525146534981
10,40,ParetoNBD_MLE,-0.11035265177586508,-0.06760458382323993,-0.0034993995237936637
10,40,LSTM,0.7436142304452984,0.5398688472177443,0.7763322505337278
10,40,Transformer,0.48648149864226753,0.18519567348588978,0.4962481839518433
10,40,ParetoNBD_MLE,0.01816895018175861,0.03416645981288224,-0.0003441472218652819
10,40,LSTM,0.7017494903643362,0.4514666427575471,0.6117895977600757
10,40,Transformer,0.694745962246048,0.6362445950365212,0.7299012153895269
10,40,ParetoNBD_MLE,0.06998623297798909,-0.0334033064076536,-0.002479907183997613
10,40,LSTM,0.7920220878516888,0.6620394873513548,0.7999251857454038
10,40,Transformer,0.7096645692413421,0.5229251446209857,0.7330925218964587
10,40,ParetoNBD_MLE,0.01096201073116234,0.04327304859092899,-0.005237662034502747
10,40,LSTM,0.8738480338527518,0.7155918077697937,0.9267641234430813
10,40,Transformer,0.4645874703925495,0.2314611909177179,0.5064000975714184
10,40,ParetoNBD_MLE,0.08987914987915545,0.031369751620954546,-0.00517553292108046
10,60,LSTM,0.6436531508254222,0.47588165979364433,0.5970225599870422
10,60,Transformer,-0.048669592843222226,0.1988054664286295,0.4533712956505305
10,60,ParetoNBD_MLE,0.07020677345045186,0.019964616853563846,-0.02588659197237116
10,60,LSTM,0.8106014202716856,0.656476309682077,0.8537481493217245
10,60,Transformer,0.4466116462351498,0.09804804114696573,0.4084681263079729
10,60,ParetoNBD_MLE,0.0827474599914197,-0.056455913320864866,-0.024973143328008478
10,60,LSTM,0.6017097759653002,0.581056825365879,0.7084762604190018
10,60,Transformer,0.3795360054258203,0.18446395097194726,0.38658332819144015
10,60,ParetoNBD_MLE,0.0882362629148037,-0.0245854248561648,-0.022056720335965667
10,60,LSTM,0.6108244096242548,0.40803527221606845,0.7800083326307558
10,60,Transformer,0.49775023970910176,0.33290377291612233,0.6808319300084976
10,60,ParetoNBD_MLE,0.009135622019215433,-0.06458157124006918,-0.022106945038800292
10,60,LSTM,0.6548727387826188,0.4488158945981198,0.7510358343422723
10,60,Transformer,0.4086402871749694,0.03865494050035739,0.3395368261480855
10,60,ParetoNBD_MLE,0.18572527369659306,-0.05174993047525832,-0.02067252517011038
10,60,LSTM,0.7396975418006246,0.5677812670517491,0.813139918970107
10,60,Transformer,0.24402259632014855,0.04187215589145244,0.41444664076486987
10,60,ParetoNBD_MLE,0.18857193645645512,-0.026100075457084638,-0.027983314627829183
10,60,LSTM,0.7358122102982769,0.5835664638343918,0.855793144502824
10,60,Transformer,0.5122671529060865,0.27108607081130476,0.5302345043218443
10,60,ParetoNBD_MLE,0.06377176728584963,-0.11933859767009394,-0.02048572841773738
10,60,LSTM,0.6883208422589981,0.5203764067204466,0.7093373210102962
10,60,Transformer,0.26152186593381005,0.23404354358533755,0.6804786179740404
10,60,ParetoNBD_MLE,0.12908441311268143,-0.06435122768052873,-0.022947901604876378
10,60,LSTM,0.8489651447183281,0.7232646434952519,0.8039168202281641
10,60,Transformer,0.35715279083125706,-0.007897774026545163,0.11352949574620336
10,60,ParetoNBD_MLE,0.19797282520727674,0.0772697238064073,-0.020630543612273785
10,60,LSTM,0.796645213599604,0.6796633896150474,0.8782735535731593
10,60,Transformer,0.08823347309089156,0.08671001041459768,0.4537492017582755
10,60,ParetoNBD_MLE,-0.010238331014558828,0.004317113013194962,-0.020117321489132534
10,80,LSTM,0.6036221298709256,0.33052517019912486,0.5788827590044404
10,80,Transformer,0.3806100211289047,0.21989461833458443,0.6710867797207455
10,80,ParetoNBD_MLE,0.08379559472303569,-0.0010488953677107113,-0.03930161755151617
10,80,LSTM,0.5454486859453879,0.3505187503553861,0.553920154989705
10,80,Transformer,0.26586404821854565,-0.11660789127698053,0.2445716880270202
10,80,ParetoNBD_MLE,0.14559267076280988,-0.07594051512111777,-0.045666696197163036
10,80,LSTM,0.49586862315091135,0.47902246250103714,0.7406659000751601
10,80,Transformer,0.20470387593758826,0.03266572807079013,0.35197619744544106
10,80,ParetoNBD_MLE,0.14807670803240372,0.10811744970346267,-0.032964993946836
10,80,LSTM,0.21579899149871998,0.2156220413945086,0.37345871554988275
10,80,Transformer,0.4191604306049748,0.4311678992189763,0.5152495851529226
10,80,ParetoNBD_MLE,-0.09696672725324526,0.13923098320143354,-0.0382253046224854
10,80,LSTM,0.39987817554006155,0.23344689461028215,0.6217356807853653
10,80,Transformer,0.16712226215019207,0.18137605158310166,0.517863147093531
10,80,ParetoNBD_MLE,0.0007464202274698481,0.05457775328312511,-0.04509310888283205
10,80,LSTM,0.5371813243345049,0.26796559537256404,0.63373406407008
10,80,Transformer,0.23601969935418968,0.09100628915744671,0.030636880832222657
10,80,ParetoNBD_MLE,0.1263323057619522,0.062378783823962274,-0.03334428543857083
10,80,LSTM,0.48400878284330195,0.37735040946381754,0.7146273541600425
10,80,Transformer,0.44011632210769697,0.32124912932614147,0.6810206098102505
10,80,ParetoNBD_MLE,0.20034142088853765,0.043166731975237765,-0.03093368130258411
10,80,LSTM,0.4814845008240504,0.23691262948080002,0.4067156806225604
10,80,Transformer,0.39595630251763453,0.16351932953487697,0.46347845279323474
10,80,ParetoNBD_MLE,0.12911086910403616,-0.0680471917586673,-0.04609698386439205
10,80,LSTM,0.43367478300666457,0.24072691750247813,0.7050925605184646
10,80,Transformer,0.37045039345237396,0.14960605811753971,0.6049396832486582
10,80,ParetoNBD_MLE,0.2566443093721821,-0.1135055342463187,-0.04573918697397232
10,80,LSTM,0.5323492293496846,0.28016833943468944,0.14704786490783628
10,80,Transformer,-0.2598948247344854,0.1295908676835369,0.3720540827995596
10,80,ParetoNBD_MLE,0.08937008062820292,-0.045366100809459624,-0.04549980984359973
1,20,LSTM,0.3035350062212391,0.40766833978436257,0.44199304320062355
1,20,Transformer,0.38115196112572003,0.30410473220543294,0.22803071147252865
1,20,ParetoNBD_MLE,-0.14441335281738707,-0.009385367472832433,0.016310138072647116
1,20,LSTM,0.3288552797873585,0.1912284361095243,0.35886461884652565
1,20,Transformer,0.18661410611210585,0.016087007842079455,0.19404484576529546
1,20,ParetoNBD_MLE,0.08110139970860217,0.026241528422320602,-0.026213409830362095
1,20,LSTM,0.028707102678245118,0.04202637917396361,0.41916944000413325
1,20,Transformer,0.08904662662726734,0.10015719396994233,0.27438766456842234
1,20,ParetoNBD_MLE,0.12289181285117835,-0.06372079408756709,-0.02897027233348921
1,20,LSTM,0.3486231141827883,0.10167923612723853,0.19420254838409295
1,20,Transformer,0.25494026986062873,0.1315434856082744,0.11158237366738345
1,20,ParetoNBD_MLE,-0.10364018774596032,-0.10971893047305373,-0.016042963000347504
1,20,LSTM,0.4992913548518848,0.4678266002325948,0.5774888556899858
1,20,Transformer,0.4879331668171235,0.38822946354735777,0.4034773294517136
1,20,ParetoNBD_MLE,0.06575302849415295,0.10632555161250232,-0.014421393608279575
1,20,LSTM,0.4115278311049541,-0.04972030979503104,0.17927592340439663
1,20,Transformer,0.4079139749178945,-0.04489984963483261,0.36907373575253455
1,20,ParetoNBD_MLE,0.03802891033737189,-0.13942929520923075,0.009257057917135988
1,20,LSTM,0.3738997991966087,0.24054434054467128,0.30618749195841194
1,20,Transformer,0.26148528458096154,0.11033857647728139,0.31123791577791726
1,20,ParetoNBD_MLE,0.009488566555745547,-8.042680168192776e-05,-0.02720493417537465
1,20,LSTM,0.22751070850903582,0.20574921200313917,0.37623153532978737
1,20,Transformer,0.38373651355833294,0.23368160673922667,0.36320559981886485
1,20,ParetoNBD_MLE,-0.13255659862985233,0.006912873554895326,-0.003484219379762985
1,20,LSTM,0.49924270746500515,0.3722906498480925,0.6296193662096246
1,20,Transformer,-0.015563989619000965,0.010053242399008554,0.16043167877035655
1,20,ParetoNBD_MLE,-0.06073883747409378,-0.08120152575063767,-0.0274670113669917
1,20,LSTM,0.5023402290039432,0.2085497479521866,0.6151794188038912
1,20,Transformer,0.36150774405827013,0.30023623690939,0.19808068118948172
1,20,ParetoNBD_MLE,-0.14458706863662557,-0.057680765761056574,-0.031029866337220602
1,40,LSTM,0.08748888652853706,-0.0797868373623385,-0.004837479976602396
1,40,Transformer,0.20653118254113398,0.22189840391669874,0.1145044046053443
1,40,ParetoNBD_MLE,-0.04895349050576708,-0.04037066397397414,-0.018152998701266392
1,40,LSTM,0.1825842185968927,-0.052420046798452226,-0.15807795820192538
1,40,Transformer,0.18392000910814696,-0.0897752218689701,0.21654670916076701
1,40,ParetoNBD_MLE,-0.08844555864262929,0.035243991087456496,-0.03064592668892288
1,40,LSTM,0.44043863086573326,0.11494926565830235,0.0782270556889469
1,40,Transformer,0.1862014353293164,0.04297739278818425,-0.0884931561333548
1,40,ParetoNBD_MLE,0.05450279385022112,-0.09904327684151455,-0.025285357956046285
1,40,LSTM,0.2075305706753304,-0.07878105651950212,-0.09750777590317601
1,40,Transformer,0.5086508780542331,0.17289535099298114,0.1390415340186216
1,40,ParetoNBD_MLE,0.009057934675641734,-0.01939571585495302,-0.02827478142946328
1,40,LSTM,0.2686321947880707,0.14471846102739383,-0.08476292560459125
1,40,Transformer,0.273914649924642,0.3055860109775091,0.15009040239852026
1,40,ParetoNBD_MLE,0.02512331154701054,-0.03390432265159497,-0.03895091173804908
